username,wallet_address,name,uuid,bio,is_verified,avatar_url,twitter,total_collections,total_nft_items
amaruskull,0x2d32bc684b991f90591746a580ce88d85334ff2e,Amaruskull,9f6cbd63-06d5-409c-a324-c26bf6ca7ec2,Amaru is an eternal existence with various unique qualities.,True,https://rcdn.salvor.io/images/avatar/200x200/b51e31d1-7060-46ab-b4f3-cc2885a44970.png,https://x.com/Amaruskull?t=oyLjFDmLyfbsyKFz05n0WA&s=09,0,0
artmediamixx,0x40110a2125ba05c2c414789ceb7695f896ab0786,artmediamixx,db3b9ea1-d859-4a91-806c-cfa55d8637b8,"Multidisciplinary Artist 💥🇬🇷💥
NFTcreator | NFTcollector ♂️♎️",True,https://rcdn.salvor.io/images/avatar/200x200/73abe774-44d7-4258-87dd-6c93da08890c.jpg,https://x.com/artmediamixx,4,12
youthscrew,0xd87e26c24033a91ea033256a7d77b435a3aa84c9,Youthscrew,10ba2906-26de-47f9-af38-fe7138539629,a hc/punk digital artist based in Malaysia specialize in hardcore punk theme art and pixelated 8-bit style as a form of self expression.,True,https://rcdn.salvor.io/images/avatar/200x200/f292c7ae-6643-491d-8250-7a3d48460ad0.jpg,https://x.com/youthxscrew_,0,0
ang3l,0x3a286f6b3d2aa13bee9b386caa2a0c8b7faaa328,AnG3L,40cd0d87-a0b5-4ec4-a903-ddee7665750a,"Multi awarded artist for over 26 years. 
Featured in some of the world's top magazines & websites.",True,https://rcdn.salvor.io/images/avatar/200x200/2afbb291-04f3-4ca7-a7e4-9b0ad0925631.png,https://x.com/AngelNFTart,1,78
thesolorover,0xc92d23ceb28c73513dd552553f0064a5269629e4,Abhi,598308d8-43ef-4b18-a890-868aabb81493,"Travel Photographer | Exhibited in Tokyo, Iran, Boston University, Bali, Canada | Realme First Global Photography Award Winner | Featured in National Geographic, Passion Passport, Street Photography International.",True,https://rcdn.salvor.io/images/avatar/200x200/f044ece1-4ac0-4f32-86be-b899ae6ac476.png,https://x.com/thesolorover09,1,1
blissx,0x5e00f1e6f8cd055abe7da2ae2ec4cb3c10007277,Blissx,e7eedd3a-8936-4338-80ef-145a460ce31f,I Enjoy art !!,True,https://rcdn.salvor.io/images/avatar/200x200/9d1f4b12-8474-4d10-a1d9-10cae0a38c11.jpg,https://x.com/BlissxTsuki,14,20
artfie,0xf4b76adde678791ce276f30deb9365298e4db817,artfie,cc197a18-d881-4738-9b12-8ebefdff54a5,,True,https://rcdn.salvor.io/images/avatar/200x200/1fb7e5f0-9ce9-4f11-809e-b524df4f8177.jpg,N/A,1,2
rugen,0xcc03ddbad99939a93aba22a99deb3b0498ed4cba,rugensart,e4216af7-d3ea-4eb5-8a3e-2c648f1ae400,I create art with motion and emotion,True,https://rcdn.salvor.io/images/avatar/200x200/03f04458-f742-468c-87a5-1770aff85fd0.jpg,https://x.com/Rugensart,0,0
dadbob,0xed6d38eb858216a702b2b7f3981ed48451a9ac07,Dion,9a7c45a4-e57b-425a-8356-019555e92d5d,"Art is everything to me, as in I view all that I do an art. The art of living through art.",True,https://rcdn.salvor.io/images/avatar/200x200/1c855ccf-b257-4fcc-a091-3bccc6bbf3bc.jpeg,https://x.com/DadBobIII,3,4
baston,0xf187e2b058542c5f6494f830a51ad4c101af3fe9,Baston,12fea131-4c1e-4cd4-9a22-45d67ebb9a5e,Artist,True,https://rcdn.salvor.io/images/avatar/200x200/0620ae88-385e-4793-9ecd-bc361a334e30.jpeg,N/A,2,3
lizart,0x7b2700150d4875fdfe4b6a17075765b70c0bd440,LizArt,c5b87b6a-d94c-4c76-8714-d0e602f52638,I'm a visual abstract artist based in Istanbul,True,https://rcdn.salvor.io/images/avatar/200x200/36b55095-75f9-46c5-aba6-a4d68b4bd879.jpg,https://twitter.com/LizArt_NFT,4,7
mismar,0x96c8019e43d3d31e46fc80eeadf14631ce8589f8,mismar,db42e006-e3ea-4c83-99a1-7301ec93723a,"Hi, I'm Mismar. I'm an artist based in Indonesia. I combine stories about everyday life with deep thinking in my work. I use different types of art, including painting on paper. Each image shows the character's true self.",True,https://rcdn.salvor.io/images/avatar/200x200/1f8aa47f-b624-4042-bbc8-5302d300f208.jpg,https://twitter.com/Mismar___,1,1
bubaviedma,0x486752e4c8ab22f5abb1feb95abc7ce0a36473da,Buba Viedma,b33e38c4-8b53-407f-a194-1d7d746865cd,Happy Apocalypse in Technicolor 🌈☕️✨,True,https://rcdn.salvor.io/images/avatar/200x200/c02434bf-12f2-4aa3-83fa-fce8ea01d612.png,https://x.com/bubaviedma,0,0
kokolove,0x8d2879a617dcb7d13391cd04d77e31a3b2b6cd00,KoKoLOVE,17c84a99-88c7-4576-890d-90994e1d73b1,"«To infinity... and beyond»💫 
Commercial illustrator♥️madly in love with space🌌",True,https://rcdn.salvor.io/images/avatar/200x200/03f20d36-2210-45e0-8d0c-82e14d77cfa9.jpeg,https://x.com/artkokolove,0,0
0xvlvx0,0xb6fa40cba25ab7310a068be20b910e343aa1e819,VΞLVΞT,ed4a9194-b0f3-4255-b999-18203c530c0d,1/1 Artist | Collector | Glitch arkhitektor | AI tester,True,https://rcdn.salvor.io/images/avatar/200x200/790c7b30-a305-49cb-85c9-bb1770e4c6d2.png,https://x.com/0xvlvx0,1,2
jaeger,0x2dce5838e837e2dd5aaf20b92acb173e44c37c7b,HaderJaeger,938a488b-27e1-4c89-9a73-61a640ceffd9,Artist,True,https://rcdn.salvor.io/images/avatar/200x200/cc2e50ee-eb14-4b60-9101-ddc51a125dce.gif,https://x.com/HaderJaeger,14,22
simboliatt,0xbcd3a879feb2ddb32f1e872539e725ba7b22980b,SIMBOLIATT,05ee68ab-b865-490d-95ce-d3ddadde562f,"Surealism art & digital illustrations
From 🇮🇩",True,https://rcdn.salvor.io/images/avatar/200x200/1228b2b2-07ab-4858-b14f-9d350b93d0af.jpg,https://x.com/simboliatt?s=09,2,3
pixeldreamznft,0xf259681d1c93573de8efb5182ca82e853b2eff44,Pixel Dreamz,27a1e206-c467-40f6-b350-65261efe6103,Pixel Illustrator,True,https://rcdn.salvor.io/images/avatar/200x200/d25bdb21-4864-4a17-9666-b478e3876de3.GIF,https://twitter.com/pixeldreamznft?s=21&t=5gK_VrRxsBJXSi1g_bffSQ,1,1
ghazalruoanett,0x6f997437476b51423f8294204ebeeb76e700cff8,Ghazal Abbasi,6feab17e-11c2-46ec-ba45-a74fe7e7746b,"tired artist ,
photography student ⭐️
https://linktr.ee/ghazalabbasi",True,https://rcdn.salvor.io/images/avatar/200x200/d83e1b25-4c52-4526-b26c-713649576142.jpg,https://Https://x.com/ghazalruoanett,0,0
obliquehead,0x37545efe5b98ad7b0707d55aa68617ad9b8fc034,Obliquehead,726beac8-ce4c-4fbd-9a5e-7138269ba44b,TecnoGlitch 404,True,https://rcdn.salvor.io/images/avatar/200x200/fc819ab3-e098-4097-848d-e6a3f677edf5.gif,https://twitter.com/ObliqueHead,2,2
clagri_,0x0e77b1170ac78b8f8534cf53b738d9080cfedc14,CLAG,0e51cd6a-b314-47bd-8888-bd383da603aa,Making art like a blue sky,True,https://rcdn.salvor.io/images/avatar/200x200/4590df00-627d-4552-b645-9350814b33a9.png,https://x.com/clagri_?s=21&t=_W3rDlMUaMG3y7-KiSMmSQ,2,2
clay,0xa598a94ab1f3b653e8b7eb80e5b3f3e470d8068e,Clay Numbers💃🏾🔺,5ab7be00-ebfc-4983-adb3-05c5354c5994,,True,https://rcdn.salvor.io/images/avatar/200x200/e6961dbc-4665-450a-9573-930afa7cca4d.jpeg,https://twitter.com/claynumbers,76,176
mina_bahari,0xc0c5b92475aeb19ab6a5cbf24f33a1ea622243b2,Minabahari,25061eed-5449-4def-9b14-8e301b009a74,Hello. I am an  My work style is watercolor and I work mostly physically,True,https://rcdn.salvor.io/images/avatar/200x200/cf57e142-9eea-4798-9f8b-1331b6b69347.jpg,https://linktr.ee/minabahari.art?utm_source=linktree_profile_share&ltsid=925df51d-3aae-4580-8d01-89470078b97e,1,1
peterart18,0x8b5a1a96fa5a485a202b0797c26635b5ad687c60,PeterArt,8c4adc49-414c-4c39-906b-5b4b841e5aab,I am a digital artist from Ukraine. I love working with colors and textures,True,https://rcdn.salvor.io/images/avatar/200x200/68fa67e0-ab7c-4b57-a4fa-832fd31c239c.png,https://x.com/PeterArt18?t=mIDk1DDUMcWTTqOdA5qN6g&s=09,4,4
paulinarez,0x5adb20ffa14bd285bd278fbf85ac8f2f3e90330b,PaulinaRez,4d6642fe-486a-4c35-9127-2f5b0921d08e,Artist who loves create lil worlds,True,https://rcdn.salvor.io/images/avatar/200x200/a6d8ddd0-afcc-4ed2-b73f-49bdc914253d.JPG,https://x.com/PaulinaRez_,15,25
matiliart,0x539f356c980c850dac6aed633974fb0fdb71fdd0,matiliart,3fe175b2-eacc-489a-92a6-403a4bcf86b0,Artist | Digital Collage Art | Animator🤘🏻 Believe and your belief will create the fact |,True,https://rcdn.salvor.io/images/avatar/200x200/0f9baaba-ed0f-4908-affe-92e9ecafab46.jpg,https://x.com/matiliart,1,1
anyoneany,0x124e1db683301a67bf056a1f0883b0fed33289fc,AnyoneAny,c5a8f7db-7e5a-4fac-8b82-d275854b3565,"I am a software architect. Passionate about nft and crypto in general. 
My sentence?
We can be anyone, and anyone can be us.",True,https://rcdn.salvor.io/images/avatar/200x200/945d0fb5-e59c-4095-897c-402f6b8f6a04.png,https://x.com/AnnyoneAny,46,75
dethreaper,0xcd4476cc0a8e2d6b860de174bcf7bc82ed2f4168,Deth Reaper,94d21709-7360-44c1-b6c2-4a8a81702c39,Engineer | AI | Pen Plots | Paint Bot | Code,True,https://rcdn.salvor.io/images/avatar/200x200/83920dcd-a6c9-4e03-8e06-6e1b5b677200.jpg,https://x.com/_dethreaper_,3,6
h_artt_,0x9a27a0a436a0ec6fdebbed60db6b8536a6a96db9,Kate,f2068d82-7285-4af7-a5fe-c0175d472733,NFT Artist | Gothic sketch style | my art is an undying love for dark fantasy aesthetics🖤,True,https://rcdn.salvor.io/images/avatar/200x200/cf3a6a87-413d-4819-a42b-2a3c56627026.jpeg,N/A,0,0
ikhbalrf,0xb150202690420489513bc130f98ec5cdb29f6970,IKHBALRF,9ec86e8d-2300-485a-8e26-6e355f30241b,you dont need my bio.,True,https://rcdn.salvor.io/images/avatar/200x200/b307f141-dd89-416c-b24f-a21ae4e0fb3e.jpeg,https://x.com/ikhbalriko,1,1
arttellstory,0x2dc7fec828327542b7b6d67ef277660cab329c11,Ashhhhh,ceabe78c-69d2-45cb-a8e0-8caf7335d42a,Hi I am an artist. I believe that art tell story.,True,https://rcdn.salvor.io/images/avatar/200x200/a4682c49-d907-4e74-b918-3e15d88446db.png,https://twitter.com/ArtTellStory?t=flVYExF-x5c1gZ9A2_Jsig&s=09,2,3
customhorror,0x0007b9c4d506c6be7b4a3d454d078db5899172da,Custom Horror,1c61247c-4220-4366-b08a-366c39a54cd0,"I'm here for the money

ᴄᴏʟʟᴇᴄᴛᴇᴅ ʙʏ
ᴄᴏᴢᴏᴍᴏ, xᴄᴏᴘʏ & ꜰᴠᴄᴋʀᴇɴᴅᴇʀ",True,https://rcdn.salvor.io/images/avatar/200x200/60ce0692-e308-4b42-9cd0-36e8d971e42a.jpg,https://x.com/CustomHorror,5,5
mosio,0x103403a7fb647f6e1cf2fac32ff352ce1c08bf73,Mosio,b87146ff-1d34-4a52-b0a8-a6c31fe85d02,Visual Storyteller,True,https://rcdn.salvor.io/images/avatar/200x200/2b9971cd-ba90-428a-aeff-4aea7555eeef.jpg,https://x.com/mosio_eth,0,0
web3withcj,0x8ff9141f350707e10d53968d2bcb1473b3944871,CJ 🍁,13855a1c-156a-4d68-a2a3-913b6d615d1a,Artist | Content Creator | Degen Extraordinaire,True,https://rcdn.salvor.io/images/avatar/200x200/91ca992d-0606-4ac4-88e9-c8a116ffc9d7.png,https://x.com/Web3withCJ,3,16
acidstronaut,0x8afc13c52022829194337f6ed1c39148ce45e76e,ACID,97d76fa6-bf34-494c-be59-ef0071f31c88,Artist engaged in creative mischief,True,https://rcdn.salvor.io/images/avatar/200x200/e5882ba8-9df8-49aa-90f5-c1c0eb846ce8.png,https://x.com/ACIDstronaut,0,0
spoge,0x845455f729bad08aebbd616fcdc1d39e323a44e5,Spøge,9b727e03-fc46-4afe-ab88-39ae73652886,,True,https://rcdn.salvor.io/images/avatar/200x200/ae24c209-cbaf-4cbf-8a89-57c4dcc3f710.jpeg,N/A,1,2
pinkyjenny,0xf791813f5098d8d9ae85383ad5e18849ee32ae04,Pinky Jenny,95c4e651-0968-4a5a-a09b-67d4f85225b3,"Digital Drawing Artist / Illustrator / and also, deeply into Artificial Intelligence and loves tinkering with it!",True,https://rcdn.salvor.io/images/avatar/200x200/d3e8ca5b-5d4d-4638-aeb6-fffe32231561.png,https://x.com/Jennysart_1,38,66
dethember,0xe8d0492bdca82bb0b4104e04affb709536c85e87,Dethember,6fe50e12-bbc0-4a73-965f-4c0019a8a1cb,DIY Musician / Creator,True,https://rcdn.salvor.io/images/avatar/200x200/07fbc21e-1c48-4771-87ff-ed28c0ea998f.png,https://x.com/Dethember,10,19
virtuos0,0x10a69bf0300fd11f0b3239c537976fdcc42f817f,Virtuoso,9ab2f293-6fd7-4cc5-97b4-658dd0540e4d,Glitch Artist,True,https://rcdn.salvor.io/images/avatar/200x200/27daea4d-26c9-4d98-8437-f2efdd405722.gif,https://x.com/Virtuoso_TEZ,1,4
hipocreatee,0x12c3bf74f80bbd2e8cd653f5e1928f262c370d3d,HIPOCREATELINE,512552cf-e73f-4a8d-91c2-3a9c59dcda1d,"scraperboard: the rhythm of the lines in the solar plexus that are visualized by the hands become a single unit -  (MIGRATION) ""Migration account, the old account had issues, it was hacked, and started over from scratch with a different color."" (OLDHIPOCREATE)",True,https://rcdn.salvor.io/images/avatar/200x200/77170e41-39a0-42ae-93d6-f3e669b5c723.gif,https://twitter.com/HIPOCREATEID,32,35
caseycassidy,0xd880049f8fc735619028a5a576eb87e0c18b6c9b,Casey,93486709-b3cc-4185-810f-ec828756e50c,"Illustrating surreal worlds, one odd character at a time /",True,https://rcdn.salvor.io/images/avatar/200x200/f1e9f060-a0c2-4a0e-a46c-892ef5a8cb66.jpeg,N/A,1,3
mayor_pencils,0xb5c9d75fb7c5d2682f5292b8db3bc549bed108fc,Mayor,1e4072e6-46b2-4b63-84a3-515d7fa40e53,Pencil artist and illustrator,True,https://rcdn.salvor.io/images/avatar/200x200/24264dad-5d33-4729-ba64-ea144a9efdb9.jpg,https://twitter.com/Mayor_pencils,2,8
yolmarin,0xe0e93b216fcb57aeb696db0a495eb09891bd64e4,Yolmarin,114b1389-a6d5-457d-8bc6-a258419ebebb,"Writer, Artist & Psychologist!",True,https://rcdn.salvor.io/images/avatar/200x200/8f11454c-9b35-4dd1-80fd-473497c5c4b4.png,https://x.com/Yolmarin,1,2
fodderdan,0x10c28326faa8c5b0619f89e130cf27a18fe036da,FodderDan,1a9f368d-4952-47b8-8a97-9ead151baac8,,True,https://rcdn.salvor.io/images/avatar/200x200/98e67f89-b67a-41e2-be8a-c7a9aebb1ccd.jpeg,N/A,2,6
joeruizart,0xd46dba33787eaa4e943492bcf4bf6d1098a5de30,Joe Ruiz,720cd616-da2f-4e49-a24d-a08fe69bd83f,"I like making science fiction related art, always have done. There's always a story behind the work I do. Sometimes it's elaborate, sometimes not.",True,https://rcdn.salvor.io/images/avatar/200x200/ef22fcca-ad6a-404d-aed7-46691d0b4983.jpg,https://x.com/JoeRuizArt,0,0
eyeladyart,0x866774c3cd4504dd576a345e07695074a99e3690,Ayda Aghajani,234c7d3a-5832-4dc9-998c-5ddae1afb3dc,Painter 👩‍🎨 hand painting,True,https://rcdn.salvor.io/images/avatar/200x200/cd2d1c2b-8745-4e20-b70d-760ea41c4264.jpeg,https://x.com/aydaaghajani?s=21&t=8YWj5gY9jR0i20BIRaFaPQ,0,0
gribbly,0x77a9074ec8bff488be04997d88b18f39eaa28b37,Gribbly,b35eb0a0-dfb0-4dca-86fc-9feb8f8e7e64,"Creator of EGGZ, General Chikn Enthusiast",True,https://rcdn.salvor.io/images/avatar/200x200/1645f8ba-e211-4d2a-8cff-4bad128c7b54.jpg,https://twitter.com/EGGZ_ON_AVAX,8,17
maddolphnft,0x837b737206b841baccb46c7319ed6091a9d5c3e5,MadDolph,dd774249-9eff-4f0f-9351-b4223b24cc84,"Gerald || digital Artist & Ai artist|| Founder of Mad Dolph NFT|| Exhibition:- Metaverse, NYC x2, Las Vagas x2 ||",True,https://rcdn.salvor.io/images/avatar/200x200/1bc21985-cc65-4525-9e72-d1093ea0e21d.jpg,https://x.com/MadDolphNFT,1,10
artsbyerre,0x54b9282dfa3c4de41542a2bf5df6cfd8ed3d9374,Raphas,3f257db2-6094-4d3b-b483-9c8924c07ab2,"NFT & Digital Art Creator 🎨
I'm a publicist passionate about design, I've been working with brands around the world for 8 years. ❤",True,https://rcdn.salvor.io/images/avatar/200x200/bef61945-d526-4032-bb8b-9a4ebf678137.jpg,https://x.com/rbartsnft,0,0
shurivich,0x790ba62e5676f00e7402269332021990b0c7d3f1,Alexander Selenyov,99d7691e-0d69-4564-969b-d4c37d2a9102,"Artist with a camera, chasing the best shots without an instinct for self-preservation. Award winner at EPA, PX3, 35Awards, NY Awards, Annual Photo Awards.",True,https://rcdn.salvor.io/images/avatar/200x200/f840210e-b305-4c87-992e-a86c53fae8a6.jpg,https://x.com/shurivich,4,4
remixitphotos,0x71ba127ff09e42eb670f5a7dc62c18bbdedc64f2,Chukwuebuka Nnadozie,7d35d6c9-94bf-41a2-b52f-b25b34b64179,"Nnadozie Chukwuebuka, known as remixitphotos, is a talented multidisciplinary creator from Nigeria.",True,https://rcdn.salvor.io/images/avatar/200x200/2c7be5bd-47a0-4af7-b8d9-2c6c2e18ca6b.png,https://x.com/Remixitphotos,1,2
artlizzi,0xa0b42af8d99754e86bfa3342aa206b3d37c54045,art.lizzi,db0ef17b-6269-4df5-9c0e-9fbdd750a936,I create works traditionally with oil and watercolor paint.,True,https://rcdn.salvor.io/images/avatar/200x200/5ec15ea2-577d-42dd-9961-5d150987fd45.webp,https://x.com/VavLiza,3,3
danielchideraa,0x056af233c0a208d9882da504ecf1a59634a68408,Daniel Chidera Art,f0c8fa24-8a8e-45ba-bb7d-80c5d849fcc5,,True,https://cdn.salvor.io/site/images/no_avatar.png,https://x.com/danielchideraa,3,3
rain,0x28a8dc51884f17553e7afa6b7d428025e3965d20,Rain,addcda9f-9e05-48fd-882d-10344bb6dde8,Digital Artist | Dreamy Fantasy Portraits & Characters | she/her,True,https://rcdn.salvor.io/images/avatar/200x200/db382ca4-9e06-440b-9243-9ff47bb3ff2a.png,https://x.com/rainystars_art,4,5
hadisgallery,0xe65d3f1fbaa83f7b3726596e280082da4b909874,HadisGallery,47fa2c8f-1bc4-45a9-b019-84e6b5d728db,Physical Painter,True,https://rcdn.salvor.io/images/avatar/200x200/00196eff-e610-4a2b-93aa-cf3551d14843.jpeg,https://x.com/arthkh?s=21,1,2
elahe_erf,0x4109a2f27555d8003e4c948afcb294d2e125d815,elahe_erf,ce4604a3-d9d9-461b-bb7c-5e342f6d986b,"illustrator
visual‌‌artist",True,https://rcdn.salvor.io/images/avatar/200x200/52af89bf-3caa-4fa8-8729-6ac01c512451.jpg,https://x.com/Elahe_erf,1,1
ksumishart,0x15dfd9beca2a4af7f820114e0c2c581ced9e87e4,KSU🤍,5e30fe70-cf6b-4828-9885-652406435647,NFT Artist❤️ I draw pieces of my soul ❤️,True,https://rcdn.salvor.io/images/avatar/200x200/333319f1-012c-4e21-b975-d5e8ff3dda79.jpeg,https://x.com/ksumishart?s=21&t=TiktL1SqLWIRofy3-lkGHQ,3,4
shiceming,0x41ffedf5ffc789afd13d4925da08b4abb628b3aa,Shiceming,699848d9-20b2-408f-9980-8976b6bf2227,The animals have the right of way,True,https://rcdn.salvor.io/images/avatar/200x200/203dd82b-1cb7-402a-bbd1-6fffa88ed7f2.jpeg,https://x.com/shicemhing?s=21,0,0
spacdwell,0x1dbe0fbbb9a713a4595ad50c3a12a2d309d377d5,spacdwell,36746205-5853-47d9-89b3-e7e9723e47e7,"""I am Spacdwell, an illustrator specializing in geometric styles, vibrant colors and unique forms. 

I began my journey in 2021 with a vision to create a colorful and joyful world imbued with profound meaning.

My mission is to craft an ecosystem filled with meaningful perspectives, where every shape, color and illustration tells a unique and captivating story about life and its deeper connections.""",True,https://rcdn.salvor.io/images/avatar/200x200/default_avatar_4.png,https://x.com/abzrramadhan,0,0
andreartworks,0xd5293eb30f2d0d90e09e2f35bf4bf350db386abf,ANDRĒ,61e8c243-16b2-466c-83d0-9bfedb453dad,Dreamweaver. 💎 AETHERIA ❤️ Transforming colors into emotions. 🔺,True,https://rcdn.salvor.io/images/avatar/200x200/ad124c21-c879-4e17-a60e-d90c5c78244e.png,https://x.com/andre_artworks?t=89ssWCNwt6YaPqFXc_12MQ&s=09,0,0
bartonltm,0xd980998c0b64ab0f3beabb152ac51368bedff703,BartonLTM,dbe30111-7025-4ff2-865d-447c3c825ff2,Hand draw Illustrator,True,https://rcdn.salvor.io/images/avatar/200x200/508d9784-b550-475f-887c-e0ede06a4c65.jpg,https://x.com/BartonLtm,2,2
mina,0x2bc08e7ef9a89726d5547a16bc1603059d5ffad9,Mina,1cb873b0-cc5f-473e-835d-01688a39418a,"In love with photography

https://linktr.ee/artbyminaa",True,https://rcdn.salvor.io/images/avatar/200x200/8f361d1f-2e46-492f-8439-6b61b5656a08.png,https://x.com/ArtByMinaa,1,6
artikude,0x961168f31866f9bc4378d028cd23f4f6f4297c4a,artikude,ad11dded-b1e2-48dd-a78b-b2530e82858f,Delicious Artist,True,https://rcdn.salvor.io/images/avatar/200x200/bd5bbb1c-79a4-4778-b53d-b7eae0f33a61.png,https://x.com/artikudee,0,0
